"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SNED11",1.44839159658849e-133,2.22015062548503,0.641,0.219,5.30125808267354e-129,"Ast_ac","SNED1"
"AL365295.11",4.52543737700671e-80,2.21406462857089,0.443,0.147,1.65635533435823e-75,"Ast_ac","AL365295.1"
"RGS9",2.82394184255687e-76,2.20985434272525,0.384,0.112,1.03359095379424e-71,"Ast_ac","RGS9"
"GFPT2",1.2849354445957e-59,2.19787464469352,0.32,0.091,4.70299222076471e-55,"Ast_ac","GFPT2"
"DPYSL31",4.47718377159838e-113,2.1528071350667,0.55,0.201,1.63869403224272e-108,"Ast_ac","DPYSL3"
"SLC16A91",4.6964763265235e-155,2.14000091520773,0.68,0.295,1.71895730027086e-150,"Ast_ac","SLC16A9"
"COL21A1",7.93540473847373e-54,2.13493793196134,0.305,0.109,2.90443748832877e-49,"Ast_ac","COL21A1"
"AC092924.2",6.37860137189543e-107,2.1048449640888,0.541,0.229,2.33463188812745e-102,"Ast_ac","AC092924.2"
"RNF19A",1.71828957355343e-159,2.08865208312738,0.735,0.45,6.28911166816292e-155,"Ast_ac","RNF19A"
"ZFP36L1",9.48729477261174e-108,1.96959213641606,0.604,0.333,3.47244475972362e-103,"Ast_ac","ZFP36L1"
"PRRX11",4.64778176847011e-65,1.96789283200786,0.415,0.157,1.70113460507775e-60,"Ast_ac","PRRX1"
"FRMPD2",1.49561911652315e-53,1.9644239337328,0.336,0.122,5.47411552838639e-49,"Ast_ac","FRMPD2"
"RGR",6.05157434176787e-47,1.94681335142996,0.33,0.151,2.21493672483046e-42,"Ast_ac","RGR"
"L3MBTL4",4.31465912119374e-62,1.94382195859238,0.399,0.151,1.57920838494812e-57,"Ast_ac","L3MBTL4"
"TOGARAM21",6.25111978491263e-77,1.94174526191582,0.469,0.181,2.28797235247587e-72,"Ast_ac","TOGARAM2"
"ATP9A",5.72849198067377e-119,1.94034491585233,0.679,0.359,2.09668534984641e-114,"Ast_ac","ATP9A"
"SYNPO2",8.61248155107877e-43,1.93790248931514,0.252,0.069,3.15225437251034e-38,"Ast_ac","SYNPO2"
"AC026316.5",3.74332518651575e-49,1.92948175612201,0.327,0.114,1.37009445151663e-44,"Ast_ac","AC026316.5"
"CCDC14",3.9036892732066e-88,1.92371872593102,0.54,0.252,1.42878931088635e-83,"Ast_ac","CCDC14"
"PFKFB2",1.49241763013981e-57,1.90545064998445,0.378,0.147,5.46239776807472e-53,"Ast_ac","PFKFB2"
"SPAG1",7.26824817527069e-50,1.88882788484091,0.355,0.142,2.66025151463082e-45,"Ast_ac","SPAG1"
"AEBP1",1.82167289451947e-51,1.85703145444573,0.359,0.124,6.66750496123071e-47,"Ast_ac","AEBP1"
"AL078602.11",4.16361443013181e-60,1.85419973158949,0.443,0.199,1.52392451757254e-55,"Ast_ac","AL078602.1"
"ITGB4",2.30411005176432e-91,1.85110548663735,0.585,0.237,8.4332732004626e-87,"Ast_ac","ITGB4"
"SEMA6A1",2.70421949400243e-104,1.84141165492818,0.598,0.267,9.8977137699983e-100,"Ast_ac","SEMA6A"
"CFAP54",9.46817788787958e-46,1.82181548182178,0.334,0.142,3.4654477887428e-41,"Ast_ac","CFAP54"
"TSHZ2",1.02777035414185e-44,1.81712258434688,0.333,0.137,3.76174227319458e-40,"Ast_ac","TSHZ2"
"SNTB1",5.35645203745873e-47,1.80720415210934,0.337,0.124,1.96051501023027e-42,"Ast_ac","SNTB1"
"AL160272.1",1.06382405229273e-113,1.79931756761252,0.758,0.567,3.8937024137966e-109,"Ast_ac","AL160272.1"
"LIX1",9.3527826432092e-36,1.76980116430799,0.276,0.102,3.423211975241e-31,"Ast_ac","LIX1"
"DBI",1.84948334178488e-34,1.76815685326558,0.28,0.128,6.76929397926685e-30,"Ast_ac","DBI"
"GRIA1",1.6118292852354e-118,1.75838879947237,0.679,0.34,5.89945636689008e-114,"Ast_ac","GRIA1"
"AP1S2",7.42983226481308e-40,1.75587483639435,0.315,0.134,2.71939290724423e-35,"Ast_ac","AP1S2"
"SLC7A21",1.90722882962546e-89,1.7446422142926,0.626,0.343,6.98064823931215e-85,"Ast_ac","SLC7A2"
"NDEL1",7.06081208584407e-45,1.70351550531755,0.352,0.195,2.58432783153979e-40,"Ast_ac","NDEL1"
"DGKB",1.52424405866391e-167,1.70309306510829,0.856,0.519,5.57888567911579e-163,"Ast_ac","DGKB"
"HMGCS1",2.7399167865627e-39,1.70168838963626,0.37,0.194,1.00283694304981e-34,"Ast_ac","HMGCS1"
"ADAMTS9-AS21",2.4306717248657e-60,1.69420459579008,0.466,0.246,8.89650158018095e-56,"Ast_ac","ADAMTS9-AS2"
"DAAM21",3.46006266904821e-148,1.65027979045826,0.78,0.483,1.26641753749834e-143,"Ast_ac","DAAM2"
"SNORC",5.26477313513853e-35,1.63201281149218,0.314,0.145,1.92695961519205e-30,"Ast_ac","SNORC"
"STOM",2.34367770655559e-40,1.63047093110468,0.386,0.219,8.5780947737641e-36,"Ast_ac","STOM"
"ST6GALNAC31",9.76739409506815e-84,1.63029258561202,0.614,0.3,3.5749639127359e-79,"Ast_ac","ST6GALNAC3"
"LDLR1",4.35661426479895e-43,1.62922704118707,0.389,0.167,1.59456438705906e-38,"Ast_ac","LDLR"
"CCDC85A",3.63895414219168e-34,1.60706326559876,0.311,0.139,1.33189360558358e-29,"Ast_ac","CCDC85A"
"MASP11",1.66017620149104e-25,1.6024662798684,0.258,0.11,6.07641091507736e-21,"Ast_ac","MASP1"
"INSIG1",1.45098642317924e-30,1.59459983340057,0.295,0.143,5.31075540747832e-26,"Ast_ac","INSIG1"
"PDK4",3.09840042199549e-34,1.57764963834931,0.38,0.277,1.13404553845457e-29,"Ast_ac","PDK4"
"AL807742.1",8.41824463107144e-31,1.53019730139939,0.318,0.162,3.08116171741846e-26,"Ast_ac","AL807742.1"
"CTSH",2.75856894772932e-32,1.52408827796114,0.302,0.174,1.00966382055841e-27,"Ast_ac","CTSH"
"ADCY81",1.07661029263713e-92,1.51838941860954,0.685,0.432,3.94050133208116e-88,"Ast_ac","ADCY8"
"PRKAG2",5.00539742581095e-69,1.50631473809684,0.6,0.328,1.83202551182107e-64,"Ast_ac","PRKAG2"
"AZIN11",7.00063031064204e-48,1.49238637566429,0.456,0.26,2.56230069999809e-43,"Ast_ac","AZIN1"
"SYTL4",2.45757817820396e-29,1.49027472109022,0.287,0.152,8.99498189004431e-25,"Ast_ac","SYTL4"
"GPC61",2.55664582879779e-54,1.47471797972156,0.515,0.274,9.35757939798279e-50,"Ast_ac","GPC6"
"PER1",8.00135023719568e-38,1.47367865598281,0.374,0.222,2.92857420031599e-33,"Ast_ac","PER1"
"SLC7A14-AS1",2.38992798367896e-29,1.45930118797605,0.28,0.114,8.74737541306338e-25,"Ast_ac","SLC7A14-AS1"
"BICD1",1.39061710623669e-180,1.43478259909064,0.878,0.659,5.08979767053689e-176,"Ast_ac","BICD1"
"MAN1C11",6.02769586565409e-31,1.42789308171568,0.334,0.16,2.20619696378805e-26,"Ast_ac","MAN1C1"
"AQP41",2.01009731906378e-132,1.40764023579649,0.865,0.609,7.35715719750533e-128,"Ast_ac","AQP4"
"MIR4300HG1",4.44632629001039e-74,1.40559839051224,0.695,0.422,1.6273998854067e-69,"Ast_ac","MIR4300HG"
"AC007563.2",7.34749948661449e-24,1.39460917760432,0.268,0.129,2.68925828709577e-19,"Ast_ac","AC007563.2"
"H3F3B",7.23310444552725e-24,1.3532505789007,0.308,0.174,2.64738855810743e-19,"Ast_ac","H3F3B"
"AHNAK1",1.95424525536554e-41,1.34883125753909,0.45,0.241,7.15273305916343e-37,"Ast_ac","AHNAK"
"ID41",4.513584409614e-54,1.33523864219095,0.553,0.344,1.65201702976282e-49,"Ast_ac","ID4"
"KIF6",1.07043158604043e-25,1.33143353142503,0.308,0.148,3.91788664806659e-21,"Ast_ac","KIF6"
"CERS61",6.26293054774465e-68,1.3296686118476,0.62,0.338,2.29229520978002e-63,"Ast_ac","CERS6"
"DSCAML1",2.11349515041476e-23,1.32875004048924,0.283,0.135,7.73560360003307e-19,"Ast_ac","DSCAML1"
"ARHGEF4",4.03430745391027e-139,1.32735177876663,0.867,0.672,1.4765968712057e-134,"Ast_ac","ARHGEF4"
"CHST9",2.02620629244031e-19,1.32552057254485,0.257,0.125,7.41611765096076e-15,"Ast_ac","CHST9"
"PLEC",1.64257264946587e-38,1.32423756492845,0.425,0.211,6.01198015431003e-34,"Ast_ac","PLEC"
"NUP188",3.63806480678697e-25,1.31682963438716,0.324,0.169,1.3315680999321e-20,"Ast_ac","NUP188"
"AL354733.3",1.2524232529422e-19,1.30967222366247,0.257,0.136,4.58399434809375e-15,"Ast_ac","AL354733.3"
"HYDIN",5.68950105363611e-30,1.30853272493023,0.342,0.159,2.08241428064135e-25,"Ast_ac","HYDIN"
"MT2A1",1.96744851654e-34,1.30186887617213,0.515,0.346,7.20105831538805e-30,"Ast_ac","MT2A"
"SH3GL21",1.88025525570292e-44,1.30079385432285,0.475,0.229,6.88192226139826e-40,"Ast_ac","SH3GL2"
"ARID5B",5.16951128576191e-31,1.29696275395506,0.4,0.26,1.89209282570172e-26,"Ast_ac","ARID5B"
"FBN1",1.57728356455593e-37,1.29423836737477,0.424,0.208,5.77301557463118e-33,"Ast_ac","FBN1"
"PHYHD1",1.33745846836305e-40,1.29402359792418,0.484,0.27,4.8952317400556e-36,"Ast_ac","PHYHD1"
"TMSB4X",3.00263388998187e-23,1.28956815193363,0.282,0.139,1.09899403007226e-18,"Ast_ac","TMSB4X"
"MAML3",2.44108542817666e-26,1.279204906071,0.323,0.159,8.93461677566939e-22,"Ast_ac","MAML3"
"SEMA3B",1.18926148280496e-19,1.27715769860329,0.252,0.122,4.35281595321444e-15,"Ast_ac","SEMA3B"
"AQP4-AS11",9.12092754937697e-63,1.27341550373572,0.691,0.47,3.33835069234746e-58,"Ast_ac","AQP4-AS1"
"TMEM123",2.33822744382617e-18,1.26448138332242,0.251,0.131,8.55814626714817e-14,"Ast_ac","TMEM123"
"GAN1",1.35486842339363e-57,1.26163110212715,0.595,0.394,4.95895391646301e-53,"Ast_ac","GAN"
"ZNF704",2.57233185935085e-35,1.26148971538548,0.457,0.27,9.41499183841006e-31,"Ast_ac","ZNF704"
"OGFRL1",6.38362698623579e-53,1.26143793678606,0.657,0.443,2.33647131323216e-48,"Ast_ac","OGFRL1"
"IPO9-AS11",1.02694803779547e-28,1.26068335107451,0.356,0.179,3.75873251313519e-24,"Ast_ac","IPO9-AS1"
"CD81",3.04633662053993e-30,1.26063023297936,0.396,0.237,1.11498966648382e-25,"Ast_ac","CD81"
"BAG31",5.24167168774119e-21,1.24984374847394,0.292,0.168,1.91850425443015e-16,"Ast_ac","BAG3"
"CTXND1",1.02969510838097e-25,1.24977953065411,0.397,0.261,3.76878706618518e-21,"Ast_ac","CTXND1"
"USP54",2.50778889444195e-56,1.24055779067739,0.63,0.432,9.17875813254699e-52,"Ast_ac","USP54"
"SNHG25",1.27484871319978e-22,1.24022166314959,0.304,0.155,4.66607377518253e-18,"Ast_ac","SNHG25"
"FRMD6",4.78125501636608e-20,1.23504352502548,0.292,0.166,1.74998714854015e-15,"Ast_ac","FRMD6"
"FRY",5.6128031681359e-28,1.23124018465635,0.374,0.224,2.05434208756942e-23,"Ast_ac","FRY"
"PLEKHA51",5.0686572583493e-65,1.22541274120814,0.724,0.504,1.85517924312843e-60,"Ast_ac","PLEKHA5"
"DPP61",1.7718769446408e-74,1.22245986599785,0.776,0.559,6.48524680507981e-70,"Ast_ac","DPP6"
"SLC14A1",2.20648642444928e-43,1.21433018274387,0.664,0.518,8.07596096212681e-39,"Ast_ac","SLC14A1"
"DIRC3",6.61234937340944e-19,1.19360069528352,0.27,0.161,2.42018599416159e-14,"Ast_ac","DIRC3"
"PRPSAP1",1.05399467358332e-20,1.17977068843957,0.271,0.127,3.85772590478232e-16,"Ast_ac","PRPSAP1"
"FANCL",9.76134642099437e-18,1.167330656368,0.267,0.149,3.57275040354815e-13,"Ast_ac","FANCL"
"LINC00486",5.77374191928674e-46,1.16235643281597,0.614,0.431,2.11324727987814e-41,"Ast_ac","LINC00486"
"MARCH31",4.0572591216968e-28,1.15500588513581,0.424,0.276,1.48499741113225e-23,"Ast_ac","MARCH3"
"PPP2CB",2.42983314900122e-41,1.14646275762601,0.559,0.401,8.89343230865935e-37,"Ast_ac","PPP2CB"
"S100B",1.77943090947779e-23,1.1348028548387,0.358,0.217,6.51289507177965e-19,"Ast_ac","S100B"
"PHYHIPL",4.04935196498199e-72,1.13181230001432,0.767,0.558,1.48210331270306e-67,"Ast_ac","PHYHIPL"
"PKIA1",2.76240494074256e-32,1.13143324998917,0.471,0.283,1.01106783236118e-27,"Ast_ac","PKIA"
"PLXDC2",2.62471456097027e-57,1.13000824420685,0.682,0.446,9.60671776460728e-53,"Ast_ac","PLXDC2"
"EIF1",1.50165206054682e-20,1.12587210416888,0.327,0.193,5.49619670680742e-16,"Ast_ac","EIF1"
"HMGCLL1",2.96597112449244e-18,1.12441237725119,0.289,0.155,1.08557509127548e-13,"Ast_ac","HMGCLL1"
"FAM107A",9.72031282663322e-31,1.12191856606584,0.572,0.47,3.55773169767603e-26,"Ast_ac","FAM107A"
"MSMO1",1.78985490963733e-19,1.11837042566242,0.33,0.188,6.55104795476359e-15,"Ast_ac","MSMO1"
"AC079385.11",1.94194806146202e-34,1.11684788677302,0.519,0.347,7.10772409975715e-30,"Ast_ac","AC079385.1"
"CYP51A1",6.36618630783234e-16,1.11551438117763,0.27,0.156,2.33008785052972e-11,"Ast_ac","CYP51A1"
"CA5B",6.79469106294952e-27,1.11225981143935,0.416,0.261,2.48692487595015e-22,"Ast_ac","CA5B"
